id,item_id,code_id,tag_id,description,filepath,created,created_by
1,62,2,178,After buying a stock each of those automatically gernerates money in a specific time interval.,d7432ff3-4faa-4623-836a-75da5873f615.png,1713254794545,2
2,62,2,102,The player kinda has to babysit the stocks and click on them or upgrades to buy them. Especially after a reset the game starts anew just with higher multipliers.,173bd713-dad7-41eb-be9c-c792dbb29183.png,1713254924029,2
4,62,2,343,The money is directly reinvested and therefore a consumable.,fc65b1cc-fbab-4767-adb8-c3a9c9db24c6.png,1713255048399,2
5,62,2,354,The player has to manage his own time and how he spends it most efficiently to maximize the output.,a53a27e2-94e9-4602-b3ee-5582c5cef0ed.png,1713255100372,2
6,42,2,98,Each player can accuse every other player of being an imposter.,e6d8b70c-b783-4ad9-827e-a190ba87b10a.png,1713255146645,2
7,42,2,316,"An direction inficator with the general direction is shown when
- an emergency must be fixed
- a task has multiple components
- in the hide and seek gamemode",c041b8cf-5351-4162-9fa5-5b89a0720948.png,1713255266419,2
9,42,2,106,Finding contradictions in the storys or actions of other players is an important game element.,d9d2b2d4-921e-4474-b990-0aca84a50973.png,1713255448980,2
10,42,2,334,The players explore the map and what is happening on it.,,1713255512151,2
11,42,2,290,The player can customize the appearance of its character.,42dcaca8-7766-47a3-a85d-9e7b9b8511c2.png,1713255545736,2
12,42,2,348,Each round some players are given the role of the imposter while they must roleplay as a crewmember.,,1713255681609,2
13,42,2,337,"The game does have minigames that force the players to move around, but the tasks itself are rarely complex.",02054f7c-ad30-4ee7-8410-c2e4c5ff3267.png,1713255741511,2
14,42,2,344,"Each imposter has a set of skills, which are unuseable for a set amount of time after use. Therefore the imposter must manage its use.",a2c5936f-6106-41ad-a5b6-64d2a845c94e.png,1713255865968,2
15,42,2,343,Each crewmember has a limited amount of emergency meeting buttons.,,1713255921051,2
16,42,2,354,"Since the imposter reduces the number of crewmembers with increasing round length, each crewmember must manage the time spend well.",ed1ffc0a-0c6a-4d59-aeeb-429f9a024d10.png,1713255988257,2
17,42,2,212,"Attacking or not attacking a crewmember as imposter is non trivial, neither is accusing another participant of being an imposter.",,1713256050179,2
