id,user_id,code_id,tag_id,item_id,game_id,difficulty,win,created
431,2,5,1167,211,4,1,0,1747744259791
432,2,5,1167,173,4,1,0,1747744259791
430,2,5,1075,142,4,1,1,1747744257690
428,2,5,1172,28,4,1,0,1747744256294
429,2,5,1172,130,4,1,0,1747744256294
427,1,5,1133,68,4,3,1,1747731377388
426,1,5,1270,220,4,3,1,1747731363230
425,1,5,1260,347,4,3,1,1747731355182
424,1,5,1272,344,4,3,1,1747731349588
423,1,5,1204,308,4,2,1,1747730230248
421,1,5,1214,54,4,2,0,1747730215612
422,1,5,1214,183,4,2,0,1747730215612
420,1,5,1166,6,4,2,1,1747730197735
419,1,5,1252,64,4,2,1,1747730192385
418,1,5,1295,176,4,2,1,1747730167083
417,1,5,1285,196,4,2,1,1747730158715
415,1,5,1155,192,4,2,0,1747730148074
416,1,5,1155,250,4,2,0,1747730148074
414,1,5,1303,213,4,1,1,1747730120677
413,1,5,1179,381,4,1,1,1747730113091
412,1,5,1037,20,4,1,1,1747730108576
410,1,5,1294,341,4,1,0,1747730090197
411,1,5,1294,201,4,1,0,1747730090197
409,1,5,1167,387,4,1,1,1747730079478
407,1,5,1175,212,4,1,0,1747730048541
408,1,5,1167,212,4,1,0,1747730048541
406,1,5,1222,140,4,1,1,1747730036486
405,1,5,1227,59,4,1,1,1747730002053
404,1,5,1117,51,4,1,1,1747729997667
403,1,5,1309,270,4,1,1,1747729989261
402,2,5,1155,280,4,1,1,1747646654672
400,2,5,1214,81,4,1,0,1746523127676
401,2,5,1304,81,4,1,0,1746523127676
398,2,5,1158,220,4,1,0,1746523126268
399,2,5,1158,337,4,1,0,1746523126268
396,2,5,1076,300,4,1,0,1746523124857
397,2,5,1108,300,4,1,0,1746523124857
395,1,5,1052,305,4,2,1,1742890099155
394,1,5,1153,327,4,2,1,1742890072689
392,1,5,1236,325,4,2,0,1742890058363
393,1,5,1236,371,4,2,0,1742890058363
390,1,5,1319,158,4,2,0,1742890053337
391,1,5,1051,158,4,2,0,1742890053337
389,1,5,1214,107,4,2,1,1742826267851
388,1,5,1192,277,4,2,1,1742826251117
387,1,5,1139,71,4,2,1,1742826234829
385,1,5,1035,142,4,2,0,1742826228934
386,1,5,1035,240,4,2,0,1742826228934
384,1,5,1052,123,4,2,1,1742826221231
383,1,5,1166,105,4,2,1,1742826213621
382,1,5,1244,392,4,2,1,1742826197948
381,1,5,1314,49,4,2,1,1742826190151
380,1,5,1163,233,4,2,1,1742826173228
379,1,5,1189,63,4,2,1,1742826165375
378,1,5,1264,60,4,2,1,1742826158242
376,1,5,1224,131,4,2,0,1742749118582
377,1,5,1224,198,4,2,0,1742749118582
375,1,5,1062,159,4,2,1,1742749091807
374,1,5,1163,91,4,2,1,1742749063780
