id,item_id,user_id,value
1,1,1,3
2,2,1,1
3,3,1,3
4,4,1,1
5,6,1,1
6,7,1,3
7,8,1,1
8,9,1,1
9,10,1,2
10,13,1,1
11,12,1,2
12,14,1,1
13,15,1,1
14,16,1,1
15,19,1,2
16,20,1,1
17,21,1,2
18,23,1,1
19,24,1,2
20,25,1,1
21,26,1,2
22,27,1,2
23,28,1,2
24,29,1,2
25,30,1,1
26,36,1,2
27,38,1,1
28,39,1,1
29,40,1,2
30,42,1,3
31,44,1,3
32,45,1,3
33,46,1,2
34,47,1,3
35,48,1,3
36,49,1,1
37,50,1,3
38,41,1,1
39,54,1,3
40,53,1,3
41,52,1,3
42,51,1,3
43,55,1,3
44,56,1,3
45,57,1,2
46,58,1,3
47,59,1,2
48,60,1,2
49,61,1,3
50,62,1,3
51,63,1,1
52,64,1,3
53,65,1,3
54,66,1,3
55,68,1,3
56,69,1,3
57,70,1,3
58,71,1,3
59,76,1,3
60,74,1,1
61,78,1,2
62,79,1,3
63,80,1,2
64,82,1,3
65,83,1,1
66,84,1,3
67,85,1,1
68,86,1,3
69,89,1,3
70,95,1,3
71,96,1,2
72,97,1,3
73,98,1,3
74,93,1,2
75,100,1,3
76,99,1,3
77,103,1,0
78,106,1,3
79,105,1,3
80,108,1,3
81,110,1,3
82,109,1,3
83,112,1,1
84,113,1,3
85,114,1,3
86,115,1,3
87,117,1,1
88,118,1,2
89,120,1,1
90,128,1,3
91,121,1,1
92,122,1,1
93,126,1,1
94,131,1,3
95,136,1,3
96,135,1,2
97,134,1,1
98,141,1,1
99,145,1,3
100,146,1,3
101,147,1,2
102,148,1,2
103,152,1,3
104,151,1,2
105,153,1,3
106,155,1,2
107,156,1,3
108,157,1,3
109,158,1,3
110,159,1,3
111,160,1,0
112,162,1,3
113,161,1,1
114,163,1,1
115,164,1,3
116,229,2,1
117,170,1,2
118,1,2,3
119,183,1,1
120,3,2,3
121,186,1,3
122,187,1,3
123,188,1,3
124,7,2,3
125,189,1,1
126,8,2,1
127,191,1,1
128,196,1,1
129,26,2,3
130,36,2,2
131,208,1,1
132,219,1,1
133,221,1,3
134,42,2,3
135,222,1,3
136,44,2,3
137,224,1,3
138,45,2,3
