id,meta_id,cat_id
70,1,22
73,1,6
76,1,24
79,2,9
82,2,25
96,5,22
99,5,6
100,5,15
102,5,24
114,7,20
121,8,21
124,8,6
128,9,22
131,9,6
134,9,24
138,10,9
139,10,6
144,11,22
148,11,6
150,11,24
158,13,20
161,13,6
165,14,22
168,14,6
171,14,24
201,19,24
205,20,20
208,20,6
213,21,20
216,21,25
227,22,21
229,22,6
231,22,25
233,23,21
239,24,20
241,24,6
246,25,20
254,6,20
258,6,6
275,27,21
282,28,20
283,28,9
284,28,6
286,28,25
288,29,22
290,29,10
291,29,7
293,29,15
294,29,24
297,30,21
300,30,7
318,31,10
319,31,21
320,31,5
322,31,15
357,34,20
360,34,7
365,35,20
367,35,6
375,36,25
377,37,22
381,37,6
382,37,15
383,37,14
384,37,24
393,39,22
394,39,10
395,39,6
396,39,15
397,39,24
400,38,10
401,38,6
413,41,7
414,41,14
415,41,25
418,42,9
419,42,6
421,42,25
452,45,22
453,45,9
454,45,6
456,45,24
470,48,21
472,48,6
474,48,25
477,49,22
478,49,9
479,49,6
481,49,24
484,15,20
486,15,6
498,47,6
500,47,22
501,1,28
502,2,38
503,1,40
504,2,41
508,29,28
509,29,26
510,30,38
511,30,41
517,50,32
519,50,20
523,50,7
524,50,25
527,29,58
529,30,58
533,31,28
534,31,30
535,31,39
539,31,58
549,51,29
550,51,32
552,51,21
553,51,14
554,51,15
555,51,44
556,51,10
557,51,26
561,51,58
562,51,5
563,5,28
567,5,58
569,6,58
570,6,47
571,6,48
572,6,32
576,6,41
577,52,30
579,52,20
581,52,42
582,52,40
584,52,48
585,52,6
586,52,58
589,53,32
594,53,44
597,53,7
598,53,58
599,53,25
601,37,28
604,37,58
605,39,28
608,39,58
610,38,38
613,38,9
614,38,47
615,38,54
616,38,58
622,9,28
623,9,40
628,54,28
630,54,22
631,54,14
632,54,15
635,54,6
636,54,58
638,54,24
639,10,38
640,10,21
641,10,41
644,10,58
645,1,58
646,2,58
649,15,32
652,15,9
653,15,47
655,15,58
656,14,28
657,14,30
659,14,20
660,14,40
663,14,58
665,27,49
667,27,56
668,13,49
669,13,32
671,13,56
675,19,49
677,19,30
678,19,32
680,19,20
686,19,58
687,21,32
689,21,41
694,20,32
697,20,47
698,20,48
700,20,58
701,55,32
703,55,20
704,55,42
706,55,48
707,55,6
710,55,58
711,8,30
712,8,33
713,8,40
714,8,47
715,8,54
716,8,58
723,28,29
724,28,40
