id,parent,description,name,created,created_by,dataset_id,code_id
1,,Why does the player externalize?,why,1727718051683,1,1,3
2,,How do players externalize? Relates to mechanics and visual encodings,how,1727767494858,1,1,3
3,62,For how long do player's externalizations persist?,lifetime,1727767567776,1,1,3
4,-1,What do player's externalize?,what,1727767716377,1,1,3
5,3,"externalizations are fleeting, available only in the moment",transient,1727767760797,1,1,3
6,3,"externalizations persist for a long duration, e.g. the whole game session or beyond",persistent,1727767866285,1,1,3
7,3,"externalizations are related to a player action, e.g. they live until some action is taken, which may not relate directly to the externalization itself",action-based,1727767959256,1,1,3
9,1,"players externalize to be able to reference sth in the future, e.g. to plan, understand history of actions, ...",quick access,1727768039630,1,1,3
10,1,players externalize to share data/information with other players,share data,1727768171738,1,1,3
11,1,"players externalize for fun, i.e. it does not have an explicit use",fun,1727768171738,1,1,3
12,2,interactions used to externalize,interaction,1727768314667,1,1,3
14,4,players externalize intent (usually for communication),intent,1727768488279,1,1,3
15,4,"externalizations concern descriptive information, they do not contain intent or a call to action",descriptive information,1727768563938,1,1,3
20,12,"players enact the externalization, e.g by connecting items via dragging",enact,1727771861549,1,1,3
21,12,externalization is created from interacting with a related object (e.g. pinging an item in DotA),object-related,1727771977160,1,1,3
22,12,"externalizations are created freely without reference, e.g. by typing",free,1727772146545,1,1,3
23,62,"how much can the externalization express, is it constrained or very expressive",level of expression,1729254506034,1,1,3
24,23,"the level of expression is high, e.g. free text or speech",high,1729254837600,1,1,3
25,23,"the level of expression is low, e.g. pings in DotA",low,1729254852155,1,1,3
26,1,"players externalize to call other players to action, e.g. ""we should attack this enemy""",call-to-action,1730642083922,1,1,3
27,2,more fine-grained encoding options,encoding,1730642285384,1,1,3
28,27,"encoded as text, can be natural language or numbers",text,1730642315921,1,1,3
29,27,encoded as a symbol or icon,symbol/icon,1730642334958,1,1,3
30,27,"encoded via color (hue, saturation, ..)",color,1730642368141,1,1,3
31,27,encoded via opacity,opacity,1730642378250,1,1,3
32,27,"encoded via position (1D, 2D, 3D, ..)",position,1730642396800,1,1,3
33,27,encoded via length of sth,length,1730642413150,1,1,3
34,27,"encoded via size (area, volume, ..)",size,1730642432821,1,1,3
35,27,encoded via orientation,orientation,1730642444569,1,1,3
36,27,"encoded via texture (usually repeating patterns, like stripes)",texture,1730642472811,1,1,3
37,27,"encoded via shape (circle, rectangle, ..)",shape,1730642494819,1,1,3
38,27,encoded via a game object,game object,1730642514574,1,1,3
39,4,players externalize values (likely numerical),numerical values,1730642660497,1,1,3
40,4,players externalize categories,category,1730642731097,1,1,3
41,4,"players externalize a function reference to a game object

functional means that this is not purely visual, but that the representation has additional functionality, e.g. giving detailed object information on hover or click",functional reference,1730642765575,1,1,3
42,4,players externalize a relation between something,relation,1730642782045,1,1,3
44,4,"players externalize a location, e.g. where they want to do sth",location,1730642823599,1,1,3
45,4,"players externalize time, e.g when something will be relevant",time,1730642854995,1,1,3
47,1,players externalize to get/keep an overview of sth,overview,1730643209337,1,1,3
