id,name,item_id,code_id,created,created_by
1,Tagging System,1,3,1727790339936,1
2,Session Bar,1,3,1727798635822,1
4,Post-It Notes,8,3,1729697081835,1
5,group 2,8,3,1729697339683,1
6,Blueprint,57,3,1729700618196,1
7,Suspicion Markers,12,3,1729701124853,1
8,group 1,13,3,1729701572340,1
9,Bookmarks,13,3,1729701739877,1
10,Translation Tracker,44,3,1729702168832,1
12,Filling the Gaps,10,3,1729702781433,1
13,Tagging System,21,3,1729702884664,1
14,Plant & Document Shelves,21,3,1729702994339,1
16,Memo Overlay,23,3,1729869749864,1
17,group 1,27,3,1729870093681,1
18,Workspace Customization,26,3,1729870740515,1
19,Custom Location Marker,30,3,1729873411719,1
20,Placeholders,48,3,1729874284496,1
21,Blueprint,50,3,1729885014038,1
22,Blueprint,49,3,1729931704569,1
24,Filling the Gaps,7,3,1730019420420,1
25,Stamps,29,3,1730019660237,1
26,Text Chat,52,3,1730020825088,1
27,group 2,52,3,1730021971250,1
28,group 3,52,3,1730022803218,1
31,Board Overlay,203,3,1730047826532,4
32,Blueprint,198,3,1730048845527,4
33,Custom Location Marker,58,3,1730061443884,2
34,Books,53,3,1730061637886,2
35,Place Block As Marker,53,3,1730061765099,2
36,Signs,53,3,1730061906674,2
38,Assisted Targetting Action Queue,210,3,1730067664449,4
39,group 1,66,3,1730128224252,2
42,(Almost) Free Map Drawing,209,3,1730152532868,4
44,Save Screenshot,393,3,1730206384943,2
45,Mark enemies,229,3,1730231764691,2
46,group 1,403,3,1730365198973,1
47,Trackers,8,3,1730645436550,1
48,Desktop Customization,29,3,1730647412371,1
49,Player Messages,139,3,1730647892623,2
51,Mark cells,405,3,1730889933813,2
52,Custom Location Marker,37,3,1730890200458,1
53,Camera,396,3,1730903738323,1
55,Camera,399,3,1730985119338,1
56,Pin Recipes,360,3,1730989194598,2
57,Automate minions,360,3,1730994321689,2
58,Action Queue,54,3,1731003805272,1
59,Premove Queue,203,3,1731004709486,4
61,Favorites Quick Access,45,3,1731247174774,1
62,Customizable Hotbar,52,3,1731247641633,1
63,Control Groups,59,3,1731247798698,1
64,Control Groups,60,3,1731248701712,1
65,Control Groups,52,3,1731248923234,1
66,Inventory Customization,53,3,1731249526192,1
67,Customizable Hotbar,53,3,1731249607173,1
68,Inventory Customization,82,3,1731251510672,1
69,Custom Location Marker,82,3,1731251599794,1
70,Inventory Customization,117,3,1731253019368,1
71,Inventory Customization,187,3,1731254600412,1
72,Customizable Hotbar,187,3,1731254645887,1
73,Customizable Hotbar,117,3,1731255887408,1
74,Customizable Hotbar,82,3,1731255999431,1
75,Inventory Customization,413,3,1731314588174,1
76,Customizable Hotbar,413,3,1731314686209,1
77,Customizable Hotbar,323,3,1731338946606,1
