id,group_id,name,cluster,description,created,created_by
1,1,Tagging System,labeling,"Players can tag video clips for various purposes, e.g. to group clips thematically, mark them for the future or reference the clip's content. When searching for video clips, tags are included in the search, though the search results are limited to 5 clips.",1727790339936,1
2,2,Session Bar,hotbar,"Players can save an unlimited number of video clips in a session, which is always visible on the screen.",1727798635822,1
5,4,Post-It Notes,notes,Players can create post-it notes with text that they can pin to the evidence board.,1729697081835,1
6,5,Evidence Boards - Pins,knowledge map,"Players have a blank board for each case they are working on. They can use it to collect and arrange information they gathered from the environment. Players can choose which information to pin to the board and connect bits of information with a colored string to imply some kind of connection. The bits of information can be chosen from the list of gathered information/data, usually related to a physical object and represented as a polaroid of the item. ",1729697339683,1
7,6,Blueprint,placeholders,"Players constantly upgrade their ship, get knew modules, gadgets and crew members. This means that their space ship(s) also need constant re-adjustment. This is simplified by letting players plan the design of their ship in a blueprint mode. When the necessary resources are available, the planned blueprint can be build with a single command. Together with a copy-and-paste function, this make changes easy to implement and scale.

Mirror and Fill functionalities are not an individual externalization because they require the blueprint to save changes.

TODO H: does ""what: visual reference"" really fit here? is it not more of a functional ref? and isn't visual reference mostly overlapping with ""encoding: game object""? ",1729700618196,1
8,7,Suspicion Markers,labeling,Players can mark information related to characters as (not) suspicious which updates a small multiples-like overview of a player's current assessment of the different characters in the game.,1729701124853,1
9,8,Tagging System,labeling,"Players can tag video clips with text which they can also see in the history or bookmark tab and whenever searching for clips, since the tags are used in the search system.",1729701572340,1
10,9,Bookmarks,hotbar,Bookmarks (of video clips) act as long-term storage and can be sorted based on different attributes. They also allow for quick tagging of multiple video clips.,1729701739877,1
11,10,Translation Tracker,labeling,"Players need to learn several fictional languages to progress in the game. Players can input their suspected translation for each word/symbol of a language, which is then shown whenever players hover over the related symbol anywhere it appears in the world. This makes learning the language much easier, since already gained knowledge is easily accessible.",1729702168832,1
13,12,Filling the Gaps,knowledge map,Being able to arrange the different pieces of information that can be used to solve the game's puzzles/cases lets players more easily go through the different options and how they are connected.,1729702781433,1
14,13,Tagging System,labeling,"Players can tag plants using free text (with limited length) to persist their hunches which plant is which. In addition, tags come in three different colors, which allows for further categorization.",1729702884664,1
15,14,Plant & Document Shelves,knowledge map,"Players can arrange both plants and collected documents freely (in the vertical) on two shelves, which allows them to express similarity or some other charactersitic encoded via location.

Does not have slots unlike a hotbar.",1729702994339,1
19,16,Memo Overlay,knowledge map,"The game has a memo pad, which is essentially a semi-transparent overlay on which they can draw or write (works well with a stylus on the 3DS). Since the overlay still shows the game interface, and the interface usually contains a puzzle-relevant image, this can be used to try out solutions or think about the puzzle in a more tangible manner.

TODO H: ""what: descriptive information"" seems wrong here. is it just a catchall for mechanics where you can write/draw anything? If so, I don't think it fits too well if ""why: simulate"" is tagged. Feels a bit more like ""what: relation""",1729869749864,1
20,17,Evidence Board: Pin,knowledge map,"Players can put any information (in the form of physical objects, usually documents) in the environment on an evidence board, where it can be freely arranged to encode something via proximity. Objects on the board can be connected via red twine. The same is true for locations on a world map.",1729870093681,1
21,18,Workspace Customization,organizable windows,"Players are under time pressure to apply the various game rules correctly. To that end, they can arrange items in the workspace such that they can work efficiently, e.g. by having space to compare pieces of information or quickly being able to look something up.

TODO: what does not fit at all",1729870740515,1
22,19,Custom Location Marker,location guidance,Players can mark locations so that they are always indicated via an arrow that also shows the distance to the marked location.,1729873411719,1
23,20,Placeholders,placeholders,"Players can visualize possible solutions to the problem, thereby making it easier to compare these options and find the correct solution.

when clicking on a cell with a temporary value the lowest value is automatically choosen. (2,3 -> 2)

TODO H: if i understand right, it should be ""how long: persistent"" because you can do other actions in the game without erasing the placeholder, right?",1729874284496,1
24,21,Blueprint,placeholders,"Players can plan a larger prison complex before building by using the blupring feature. Since the map is quite large and initial resources are limited, this is quite useful for players who like to plan ahead instead reacting spontaneously.",1729885014038,1
25,22,Blueprint,placeholders,"Players can use the bluepring feature to plan their island (which is often of limited size) in order not to waste resources later in the game due to restructuring. Building blueprints are always rendered transparently, meaning the player's plans are always visible.

Can click on buildings to actually build them quickly",1729931704569,1
27,24,Filling the Gaps,knowledge map,"Players need to assign people to different roles to progress in the game. These blank spaces can be used to record the player's current guess for a role, making it easier to track who they suspect each role belongs to. The game does not indicate whether any of these assignments might contradict each other, so it's possible to assign the same person to multiple roles. 

Entities are replaces once three correct people ones assigned.",1730019420420,1
28,25,Stamps,hotbar,Players can use stamps to crudely tag web pages.,1730019660237,1
29,26,Text Chat,free expression,"Players can use the text chat for a variety of reasons. A common thing to do is to write important timings into the chat and use the chat history later to refer to that information. Others also combine the chat with their computer's clipboard to achieve this: The write information into the chat (but do not send it), copy the text to their clipbard and then paste it into the chat at a later point in time.",1730020825088,1
30,27,Quickbuy,hotbar,"Players can put items into their quickbuy. This is always shown on the screen and players can use hotkeys to buy items from their quickbuy. Usually, players put the next items they want to buy in there (can consist of multiple components) and buy something as soon as they have enough gold, which is indicated visually via the item's border.",1730021971250,1
31,28,Chat Pings,pings,"Players can ping many things in the game to communicate with their teammates. Pings are context-sensitive and usually relate to a specific object, meaning the player presses the ping hotkeys and simultaneously clicks on an object with the mouse. For example, players can ping their health bar which prints a message that contains their health value. The same can be done for skills, which prints a message depending on the skill status (e.g. ready, on cooldown, missing mana). Enemies can also be pinged and when their name is included in a message, it is colored in accordance with the player color used throughout the complete match.

They may also ping their quickbuy to indicate what they want to buy next and how much gold they still need to buy it. Enemies can be pinged to indicate their presence. Ping messages always have the same structure and simply replace the values, which are also visually highlighted. Some ping messages also imply intent, e.g. the structure is ""I think someone should purchase X"" where X was the pinged item. Ping messages may also differ based on context, e.g. pinging the game clock may alert allied players that runes will soon spawn.",1730022803218,1
34,31,Board Overlay,placeholders,"Players can place circle markers and arrows to visualize intent, sequencing of moves and/or high-priority squares. This alleviates mental simulation load which is the main challenge in playing chess.
",1730047826532,4
35,32,Blueprint,placeholders,"Players can use a planning tool in build mode to mark floor tiles. This can be used to plan your buildings layout before actually building it, helping you to plan ahead and optimize your base layout in terms of aesthetics or efficiency.

TODO: disappears after building?? 
visual reference or category???
Answer H:
There are purely visual references (these remain after building) and functional references (these can be used to actually build and then disappear after building). I don't think category fits",1730048845527,4
36,33,Custom Location Marker,location guidance,Place a symbol on the map such that one can follow it to the destination.,1730061443884,2
37,34,Books,notes,"Players can write information in a book, e.g. coordinates or task that should be completed.",1730061637886,2
38,35,Place Block As Marker,labeling,"Players can mark/indicate sth by placing a block near an object. For example, the contents of a chest can be indicated by placing a block near the chest or using an item-frame.",1730061765099,2
39,36,Signs,free expression,"The player can use signs and write on them for varyious reasons. e.g. the player can mark already visited areas, or warn of danger, or indicate in which direction to go.",1730061906674,2
41,38,Assisted Targetting Action Queue,command queue,"Using the assisted targetting system lets you choose targets and their body parts to shoot at, and stores all selected targets in a queue. 
You can remove elements from the queue or commit to the queue execution.

The game also shows statistics (health, probability to hit your shot) for the targets.",1730067664449,4
42,39,Create Templates,templates,Players can create templates (e.g. arrangement of park items) to reuse later on.,1730128224252,2
45,42,(Almost) Free Map Drawing,knowledge map,"Different from most other modern games, the game does not draw a map automatically when the player explores new areas. 
Instead, the player is given a toolbox to draw and represent the map ingame himself.
Degree of expression is quite high (through many symbols, manual coloring, separators etc.) but the map is grid-based.",1730152532868,4
