id,old_code,new_code,old_tag,new_tag,description,created
69,2,3,100,370,INITIAL COPY,1711805797474
70,2,3,101,371,INITIAL COPY,1710236656030
77,2,3,103,378,INITIAL COPY,1710236969585
112,2,3,104,413,INITIAL COPY,1711012276403
92,2,3,105,393,INITIAL COPY,1710962863491
163,2,3,107,464,INITIAL COPY,1710968934321
203,2,3,109,504,INITIAL COPY,1710969196761
111,2,3,110,412,INITIAL COPY,1710169624238
119,2,3,111,420,INITIAL COPY,1710236316125
120,2,3,112,421,INITIAL COPY,1711014568101
230,2,3,113,668,INITIAL COPY,1710968335023
171,2,3,115,472,INITIAL COPY,1711111373766
102,2,3,116,403,INITIAL COPY,1710966824438
166,2,3,117,467,INITIAL COPY,1710235996661
135,2,3,118,436,INITIAL COPY,1710236914216
141,2,3,119,442,INITIAL COPY,1710171886240
121,2,3,120,422,INITIAL COPY,1710169537955
160,2,3,122,461,INITIAL COPY,1710952384138
165,2,3,124,466,INITIAL COPY,1710956484400
177,2,3,130,478,INITIAL COPY,1709910826759
118,2,3,133,419,INITIAL COPY,1710169537955
207,2,3,134,508,INITIAL COPY,1710968934321
194,2,3,137,495,INITIAL COPY,1711813043652
197,2,3,138,498,INITIAL COPY,1709910683079
122,2,3,140,423,INITIAL COPY,1709565043425
209,2,3,142,510,INITIAL COPY,1710237123880
210,2,3,143,511,INITIAL COPY,1710171588976
212,2,3,144,513,INITIAL COPY,1711125631692
215,2,3,145,516,INITIAL COPY,1710962926778
180,2,3,164,481,INITIAL COPY,1712516375204
66,2,3,175,367,INITIAL COPY,1712517083773
68,2,3,176,369,INITIAL COPY,1712517083773
72,2,3,179,373,INITIAL COPY,1712517197573
186,2,3,182,487,INITIAL COPY,1712517337379
97,2,3,183,398,INITIAL COPY,1712517337379
189,2,3,184,490,INITIAL COPY,1712517635199
114,2,3,185,415,INITIAL COPY,1712517680714
167,2,3,186,468,INITIAL COPY,1712517860074
156,2,3,187,457,INITIAL COPY,1712517860074
107,2,3,188,408,INITIAL COPY,1712517995392
173,2,3,189,474,INITIAL COPY,1712517995392
78,2,3,190,379,INITIAL COPY,1712517995392
89,2,3,191,390,INITIAL COPY,1712518030110
88,2,3,192,389,INITIAL COPY,1712518030110
79,2,3,193,380,INITIAL COPY,1712518030110
87,2,3,194,388,INITIAL COPY,1712518088500
81,2,3,195,382,INITIAL COPY,1712518088500
82,2,3,196,383,INITIAL COPY,1712518088500
86,2,3,197,387,INITIAL COPY,1712518130882
130,2,3,199,431,INITIAL COPY,1712518172709
137,2,3,200,438,INITIAL COPY,1712518214027
80,2,3,201,381,INITIAL COPY,1712518263573
153,2,3,202,454,INITIAL COPY,1712518292525
98,2,3,204,399,INITIAL COPY,1712518370275
132,2,3,205,433,INITIAL COPY,1712518370275
159,2,3,207,460,INITIAL COPY,1712518389638
84,2,3,208,385,INITIAL COPY,1712518467870
85,2,3,209,386,INITIAL COPY,1712518467870
83,2,3,210,384,INITIAL COPY,1712518501719
217,2,3,211,518,INITIAL COPY,1712518532938
224,2,3,213,638,INITIAL COPY,1712518626094
185,2,3,215,486,INITIAL COPY,1712518716741
205,2,3,219,506,INITIAL COPY,1712518810056
206,2,3,220,507,INITIAL COPY,1712518810056
134,2,3,222,435,INITIAL COPY,1712519023308
174,2,3,223,475,INITIAL COPY,1712519248734
229,2,3,289,668,INITIAL COPY,1713081325688
110,2,3,290,411,INITIAL COPY,1713081762411
218,2,3,291,519,INITIAL COPY,1713081762411
196,2,3,292,497,INITIAL COPY,1713081925536
219,2,3,293,520,INITIAL COPY,1713082131114
220,2,3,294,521,INITIAL COPY,1713082131114
175,2,3,295,476,INITIAL COPY,1713086660182
176,2,3,296,477,INITIAL COPY,1713086660182
213,2,3,297,514,INITIAL COPY,1713086804598
161,2,3,302,462,INITIAL COPY,1713088519570
188,2,3,304,489,INITIAL COPY,1713088782652
226,2,3,305,667,INITIAL COPY,1713091274671
228,2,3,306,667,INITIAL COPY,1713091274671
225,2,3,307,667,INITIAL COPY,1713091274671
227,2,3,308,667,INITIAL COPY,1713091274671
131,2,3,309,432,INITIAL COPY,1713091585129
201,2,3,310,502,INITIAL COPY,1713093873124
182,2,3,311,483,INITIAL COPY,1713095051545
157,2,3,312,458,INITIAL COPY,1713095081101
142,2,3,314,443,INITIAL COPY,1713095154286
214,2,3,315,515,INITIAL COPY,1713095154286
64,2,3,316,365,INITIAL COPY,1713095194985
93,2,3,317,394,INITIAL COPY,1713095194985
123,2,3,318,424,INITIAL COPY,1713095236272
136,2,3,319,437,INITIAL COPY,1713095236272
193,2,3,324,494,INITIAL COPY,1713097310471
150,2,3,325,451,INITIAL COPY,1713105924667
100,2,3,333,401,INITIAL COPY,1713108313741
105,2,3,334,406,INITIAL COPY,1713108723165
139,2,3,335,440,INITIAL COPY,1713109628757
140,2,3,336,441,INITIAL COPY,1713109628757
138,2,3,337,439,INITIAL COPY,1713109628757
109,2,3,338,410,INITIAL COPY,1713159322039
192,2,3,339,493,INITIAL COPY,1713160006939
143,2,3,341,444,INITIAL COPY,1713160667321
149,2,3,342,450,INITIAL COPY,1713165529767
231,2,3,343,697,INITIAL COPY,1713165529767
147,2,3,344,448,INITIAL COPY,1713166308721
145,2,3,345,446,INITIAL COPY,1713166425659
204,2,3,346,505,INITIAL COPY,1713166918917
181,2,3,347,482,INITIAL COPY,1713167124757
221,2,3,350,522,INITIAL COPY,1713167726338
76,2,3,351,377,INITIAL COPY,1713168014001
190,2,3,352,491,INITIAL COPY,1713185301563
170,2,3,353,471,INITIAL COPY,1713186177389
148,2,3,354,449,INITIAL COPY,1713186219695
113,2,3,358,414,INITIAL COPY,1713194480497
133,2,3,359,434,INITIAL COPY,1713196264887
273,3,4,365,768,INITIAL COPY,1713095194985
234,3,4,367,729,INITIAL COPY,1712517083773
235,3,4,369,730,INITIAL COPY,1712517083773
236,3,4,370,731,INITIAL COPY,1711805797474
415,3,4,371,910,INITIAL COPY,1710236656030
419,3,4,373,914,INITIAL COPY,1712517197573
248,3,4,377,743,INITIAL COPY,1713168014001
250,3,4,378,745,INITIAL COPY,1710236969585
251,3,4,379,746,INITIAL COPY,1712517995392
252,3,4,380,747,INITIAL COPY,1712518030110
253,3,4,381,748,INITIAL COPY,1712518263573
254,3,4,382,749,INITIAL COPY,1712518088500
255,3,4,383,750,INITIAL COPY,1712518088500
256,3,4,384,751,INITIAL COPY,1712518501719
257,3,4,385,752,INITIAL COPY,1712518467870
258,3,4,386,753,INITIAL COPY,1712518467870
259,3,4,387,754,INITIAL COPY,1712518130882
260,3,4,388,755,INITIAL COPY,1712518088500
261,3,4,389,756,INITIAL COPY,1712518030110
262,3,4,390,757,INITIAL COPY,1712518030110
263,3,4,393,758,INITIAL COPY,1710962863491
274,3,4,394,769,INITIAL COPY,1713095194985
416,3,4,398,911,INITIAL COPY,1712517337379
362,3,4,399,857,INITIAL COPY,1712518370275
514,3,4,401,1009,INITIAL COPY,1713108313741
276,3,4,403,771,INITIAL COPY,1710966824438
285,3,4,406,780,INITIAL COPY,1713108723165
279,3,4,408,774,INITIAL COPY,1712517995392
379,3,4,410,874,INITIAL COPY,1713159322039
281,3,4,411,776,INITIAL COPY,1713081762411
282,3,4,412,777,INITIAL COPY,1710169624238
284,3,4,413,779,INITIAL COPY,1711012276403
286,3,4,414,781,INITIAL COPY,1713194480497
412,3,4,415,907,INITIAL COPY,1712517680714
297,3,4,419,792,INITIAL COPY,1710169537955
302,3,4,420,797,INITIAL COPY,1710236316125
305,3,4,421,800,INITIAL COPY,1711014568101
301,3,4,422,796,INITIAL COPY,1710169537955
299,3,4,423,794,INITIAL COPY,1709565043425
275,3,4,424,770,INITIAL COPY,1713095236272
311,3,4,431,806,INITIAL COPY,1712518172709
312,3,4,432,807,INITIAL COPY,1713091585129
363,3,4,433,858,INITIAL COPY,1712518370275
375,3,4,434,870,INITIAL COPY,1713196264887
314,3,4,435,809,INITIAL COPY,1712519023308
315,3,4,436,810,INITIAL COPY,1710236914216
452,3,4,437,947,INITIAL COPY,1713095236272
339,3,4,438,834,INITIAL COPY,1712518214027
340,3,4,439,835,INITIAL COPY,1713109628757
341,3,4,440,836,INITIAL COPY,1713109628757
343,3,4,441,838,INITIAL COPY,1713109628757
345,3,4,442,840,INITIAL COPY,1710171886240
316,3,4,443,811,INITIAL COPY,1713095154286
346,3,4,444,841,INITIAL COPY,1713160667321
355,3,4,446,850,INITIAL COPY,1713166425659
359,3,4,448,854,INITIAL COPY,1713166308721
360,3,4,449,855,INITIAL COPY,1713186219695
361,3,4,450,856,INITIAL COPY,1713165529767
373,3,4,451,868,INITIAL COPY,1713105924667
365,3,4,454,860,INITIAL COPY,1712518292525
366,3,4,457,861,INITIAL COPY,1712517860074
453,3,4,458,948,INITIAL COPY,1713095081101
364,3,4,460,859,INITIAL COPY,1712518389638
303,3,4,461,798,INITIAL COPY,1710952384138
369,3,4,462,864,INITIAL COPY,1713088519570
382,3,4,464,877,INITIAL COPY,1710968934321
397,3,4,466,892,INITIAL COPY,1710956484400
318,3,4,467,813,INITIAL COPY,1710235996661
383,3,4,468,878,INITIAL COPY,1712517860074
413,3,4,471,908,INITIAL COPY,1713186177389
320,3,4,472,815,INITIAL COPY,1711111373766
384,3,4,474,879,INITIAL COPY,1712517995392
385,3,4,475,880,INITIAL COPY,1712519248734
386,3,4,476,881,INITIAL COPY,1713086660182
381,3,4,477,876,INITIAL COPY,1713086660182
399,3,4,478,894,INITIAL COPY,1709910826759
333,3,4,481,828,INITIAL COPY,1712516375204
351,3,4,482,846,INITIAL COPY,1713167124757
319,3,4,483,814,INITIAL COPY,1713095051545
388,3,4,486,883,INITIAL COPY,1712518716741
417,3,4,487,912,INITIAL COPY,1712517337379
287,3,4,489,782,INITIAL COPY,1713088782652
394,3,4,490,889,INITIAL COPY,1712517635199
404,3,4,491,899,INITIAL COPY,1713185301563
