id,dataset_id,name,description,url,teaser,author,year
420,2,A Modular Degree-of-Interest Specification for the Visual Analysis of Large Dynamic Networks,"Large dynamic networks are targets of analysis in many fields. Tracking temporal changes at scale in these networks is challenging due in part to the fact that small changes can be missed or drowned-out by the rest of the network. For static networks, current approaches allow the identification of specific network elements within their context. However, in the case of dynamic networks, the user is left alone with finding salient local network elements and tracking them over time. In this work, we introduce a modular DoI specification to flexibly define what salient changes are and to assign them a measure of their importance in a time-varying setting. The specification takes into account neighborhood structure information, numerical attributes of nodes/edges, and their temporal evolution. A tailored visualization of the DoI specification complements our approach. Alongside a traditional node-link view of the dynamic network, it serves as an interface for the interactive definition of a DoI function. By using it to successively refine and investigate the captured details, it supports the analysis of dynamic networks from an initial view until pinpointing a user's analysis goal. We report on applying our approach to scientific co-authorship networks and give concrete results for the DBLP dataset.",https://doi.org/10.1109/TVCG.2013.109,a9ad50b3-a0d8-4a36-99fe-b5f7598586ae.png,"Abello, James and Hadlak, Steffen and Schumann, Heidrun and Schulz, Hans-Jörg",2013
421,2,Replicable Security Monitoring: Visualizing Time-Variant Graphs of Network Metadata,"Monitoring a computer network's security state is a di cult task as network components rarely share their information. The IF-MAP speci fication de fines a client/server-based protocol that enables network components to share security information among each other, which is represented in a graph structure. Visualization of this data is challenging due to the highly dynamic topology and the mapping of logical nodes onto physical devices. Furthermore, data in a MAP server is volatile and there is no standardized way to preserve and review changes or previous states of a MAP graph. The evolution of such a graph, however, embodies valuable information for the analysis of past incidents and attacks on the network infrastructure. In this paper we introduce a software framework to visualize MAP data and propose a solution for the effi cient long-term storage and replication of MAP graphs. We demonstrate how changes in the graph structure between given points in time can be computed and visualized.",http://ceur-ws.org/Vol-1244/GViP-paper1.pdf,bc8b069b-7fae-4ee1-804d-62bfbe4e194c.png,"Ahlers, Volker and Heine, Felix and Hellmann, Bastian and Kleiner, Carsten and Renners, Leonard and Rossow, Thomas and Steuerwald, Ralf",2014
422,2,Visual analysis of history of World Cup: A dynamic network with dynamic hierarchy and geographic clustering,"In this paper, we present new visual analysis methods for history of the FIFA World Cup competition data, a social network from Graph Drawing 2006 Competition. Our methods are based on the use of network analysis method, and new visualization methods for dynamic graphs with dynamic hierarchy and geographic clustering. More specifically, we derive a dynamic network with geographic clustering from the history of the FIFA World Cup competition data, based on who-beats-whom relationship. Combined with the centrality analysis (which defines dynamic hierarchy) and the use of the union of graphs (which determines the overall layout topology), we present three new visualization methods for dynamic graphs with dynamic hierarchy and geographic clustering: wheel layout, radial layout and hierarchical layout. Our experimental results show that our visual analysis methods can clearly reveal the overall winner of the World Cup competition history as well as the strong and weak countries. Furthermore, one can analyze and compare the performance of each country for each year along the context with their overall performance. This enables us to confirm the expected and discover the unexpected.",https://doi.org/10.1007/978-1-4419-0312-9_2,2e642430-d28a-4c79-bee9-7f5fb3b426ff.png,"Ahmed, Adel and Fu, Xiaoyan and Hong, Seok-Hee and Nguyen, Quan Hoang and Xu, Kai",2010
423,2,Temporal Visualization of Social Network Dynamics: Prototypes for Nation of Neighbors,"Information visualization is a powerful tool for analyzing the dynamic nature of social communities. Using Nation of Neighbors community network as a testbed, we propose five principles of implementing temporal visualizations for social networks and present two research prototypes: NodeXL and TempoVis. Three different states are defined in order to visualize the temporal changes of social networks. We designed the prototypes to show the benefits of the proposed ideas by letting users interactively explore temporal changes of social networks.",https://doi.org/10.1007/978-3-642-19656-0_43,d31c6fdf-5903-405d-a640-85ee78d225ae.png,"Ahn, Jae-wook and Taieb-Maimon, Meirav and Sopan, Awalin and Plaisant, Catherine and Shneiderman, Ben",2011
424,2,A Task Taxonomy for Network Evolution Analysis,"Visualization has proven to be a useful tool for understanding network structures. Yet the dynamic nature of social media networks requires powerful visualization techniques that go beyond static network diagrams. In order to provide strong temporal network visualization tools, designers need to understand what tasks the users have to accomplish. This paper describes a taxonomy of temporal network visualization tasks. We identify the (1) entities, (2) properties, and (3) temporal features, which were extracted by surveying 53 existing temporal network visualization systems. By building and examining the task taxonomy, we report which tasks are well covered by existing systems and make suggestions for designing future visualization tools. The feedback from 12 network analysts helped refine the taxonomy.",https://doi.org/10.1109/TVCG.2013.238,a63b6c4f-f145-4289-a960-22773764ab93.png,"Ahn, Jae-wook and Plaisant, Catherine and Shneiderman, Ben",2013
425,2,Time-Aware Visualization of Document Collections,"Scientific articles are the major mechanism for researchers to report their results, and a collection of papers on a discipline can reveal a lot about its evolution, such as the emergence of new topics. Nonetheless, given a broad collection of papers it is typically very difficult to grasp important information that could help readers to globally interpret, navigate and then focus on the relevant items for their task. Content-based document maps are visual representations created from evaluating the (dis)similarity amongst the documents, and have been shown to support exploratory tasks in this scenario. Documents are represented by visual markers placed in the 2D space so that documents close share similar content. Albeit the maps allow visually identifying groups of related documents and frontiers between groups, they do not explicitly convey the temporal evolution of a collection. We propose a technique for creating content-based similarity maps of document collections that highlight temporal changes along time. Our solution constructs a sequence of maps from time-stamped sub-sets of the data. It adopts a cumulative backwards strategy to preserve user context across successive time-stamps, i.e., maps do not change drastically from one time stamp to the next, favouring user perception of changes.",https://doi.org/10.1145/2245276.2245469,8c1898b4-d507-409f-b664-251ac056e215.png,"Alencar, Aretha B and Börner, Katy and Paulovich, Fernando V and de Oliveira, Maria Cristina F",2012
426,2,"Animation, Small Multiples, and the Effect of Mental Map Preservation in Dynamic Graphs","In this paper, we present the results of a human-computer interaction experiment that compared the performance of the animation of dynamic graphs to the presentation of small multiples and the effect that mental map preservation had on the two conditions. Questions used in the experiment were selected to test both local and global properties of graph evolution over time. The data sets used in this experiment were derived from standard benchmark data sets of the information visualization community. We found that small multiples gave significantly faster performance than animation overall and for each of our five graph comprehension tasks. In addition, small multiples had significantly more errors than animation for the tasks of determining sets of nodes or edges added to the graph during the same timeslice, although a positive time-error correlation coefficient suggests that, in this case, faster responses did not lead to more errors. This result suggests that, for these two tasks, animation is preferable if accuracy is more important than speed. Preserving the mental map under either the animation or the small multiples condition had little influence in terms of error rate and response time.",https://doi.org/10.1109/tvcg.2010.78,e52b17fb-fb85-46ff-b7a0-557f80b96408.png,"Archambault, Daniel and Purchase, Helen C and Pinaud, Bruno",2011
427,2,Difference Map Readability for Dynamic Graphs,"Difference maps are one way to show changes between timeslices in a dynamic graph. They highlight, using colour, the nodes and edges that were added, removed, or persisted between every pair of adjacent timeslices. Although some work has used difference maps for visualization, no user study has been performed to gauge their performance. In this paper, we present a user study to evaluate the effectiveness of difference maps in comparison with presenting the evolution of the dynamic graph over time on three interfaces. We found evidence that difference maps produced significantly fewer errors when determining the number of edges inserted or removed from a graph as it evolves over time. Also, difference maps were significantly preferred on all tasks.",https://doi.org/10.1007/978-3-642-18469-7_5,136cbdaa-c3e7-4569-ab8d-677397e3bbdd.png,"Archambault, Daniel and Purchase, Helen C and Pinaud, Bruno",2011
428,2,The Mental Map and Memorability in Dynamic Graphs,"In dynamic graph drawing, preserving the mental map, or ensuring that the location of nodes do not change significantly as the information evolves over time is considered an important property by algorithm designers. Many prior experiments have attempted to verify this principle, with surprisingly little success. These experiments have used several different algorithmic methods, a variety of graph interpretation questions on both real and fabricated data, and different presentation methods. However, none of the results have conclusively demonstrated the importance of mental map preservation on task performance. Our experiment measures the efficacy of the dynamic graph drawing in a different manner: we look at how memorable the evolving graph is, rather than how easy it is to interpret. As observed in the previous studies, we found no significant difference in terms of response time or error rate when preserving the mental map. While preserving the mental map is a good idea in principle, we find that it may not always support performance. However, our qualitative data suggests that, in terms of the user's perception, preserving the mental map makes memorability tasks easier. Our qualitative data also suggests that there may be two features of the dynamic graph drawing that may assist in their memorability: interesting subgraphs that remain visible over time and interesting patterns in node movement. The former is supported by preserving the mental map while the latter is not.",https://doi.org/10.1109/PacificVis.2012.6183578,2313392d-c621-4f07-98ed-00c2122283b8.png,"Archambault, Daniel and Purchase, Helen C",2012
429,2,"The “Map"" in the mental map: Experimental results in dynamic graph drawing","Abstract Preserving the mental map is frequently cited by dynamic graph drawing algorithm designers as an important optimization criterion. There have been a number of definitions for mental map preservation and many different algorithmic approaches to drive dynamic graph drawing to satisfy these definitions. One of the most frequently used definitions is that of Coleman and Parker where “the placement of existing nodes and edges should change as little as possible when a change is made to the graph.” A number of experiments have been run to test the effectiveness of this definition from a usability perspective. To date, no experiment has found conclusive evidence that supports the effectiveness of the mental map in the comprehension of a dynamic graph series. In this paper, we summarize the experiments conducted on this definition of mental map preservation and provide recommendations to designers and researchers to fully understand when the mental map supports user tasks.",https://doi.org/10.1016/j.ijhcs.2013.08.004,8a694165-0d27-415d-bea7-8c730ac5de21.png,"Archambault, Daniel and Purchase, Helen C",2013
